ID,Annee_naissance,Niveau_Education,Statut_Marital,Revenu,Nb_Enfants,Nb_Ado,Nbjour_Dernier_Achat,Montant_Vins,Montant_Fruits,Montant_Viandes,Montant_Poissons,Montant_Sucreries,Montant_Or,NbAchat_Remise,NbAchat_SiteWeb,NbAchat_Catalogue,NbAchat_Magasin,NbVisit_SiteWebCeMois,Campagne3,Campagne4,Campagne5,Campagne1,Campagne2,DerniereCampagne,Plaintes,Pays,Montant_Total,NbAchat_Total,Date_Enrollement,Age,Groupe_Age,Total_Enfants,Groupe_TotalEnfants,Manquants,Revenu_capped,Age_capped
1826,1970,Graduate,Divorced,84835.0,0,0,0,189,104,379,111,189,218,1,4,4,6,1,False,False,False,False,False,True,False,Spain,1190,15,2014-06-16,44,35-45,0,0,False,84835.0,44
1,1961,Graduate,Single,57091.0,0,0,0,464,5,64,7,0,37,1,7,3,7,5,False,False,False,False,True,True,False,Canada,577,18,2014-06-15,53,45-60,0,0,False,57091.0,53
10476,1958,Graduate,Married,67267.0,0,1,0,134,11,59,15,2,30,1,3,2,5,2,False,False,False,False,False,False,False,USA,251,11,2014-05-13,56,45-60,1,0,False,67267.0,56
1386,1967,Graduate,Married,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,False,False,False,False,False,False,False,Australia,11,4,2014-05-11,47,45-60,2,1,False,32474.0,47
5371,1989,Graduate,Single,21474.0,1,0,0,6,16,24,11,0,34,2,3,1,2,7,True,False,False,False,False,True,False,Spain,91,8,2014-04-08,25,18-25,1,0,False,21474.0,25
7348,1958,PhD,Single,71691.0,0,0,0,336,130,411,240,32,43,1,4,7,5,2,False,False,False,False,False,True,False,Spain,1192,17,2014-03-17,56,45-60,0,0,False,71691.0,56
4073,1954,2n Cycle,Married,63564.0,0,0,0,769,80,252,15,34,65,1,10,10,7,6,True,False,False,False,False,True,False,Germany,1215,28,2014-01-29,60,45-60,0,0,False,63564.0,60
1991,1967,Graduate,Married,44931.0,0,1,0,78,0,11,0,0,7,1,2,1,3,5,False,False,False,False,False,False,False,Spain,96,7,2014-01-18,47,45-60,1,0,False,44931.0,47
4047,1954,PhD,Married,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,False,False,False,False,False,False,False,USA,544,20,2014-01-11,60,45-60,1,0,False,65324.0,60
9477,1954,PhD,Married,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,False,False,False,False,False,False,False,India,544,20,2014-01-11,60,45-60,1,0,False,65324.0,60
2079,1947,2n Cycle,Married,81044.0,0,0,0,450,26,535,73,98,26,1,5,6,10,1,False,False,False,False,False,False,False,USA,1208,22,2013-12-27,67,60+,0,0,False,81044.0,67
5642,1979,Master,Married,62499.0,1,0,0,140,4,61,0,13,4,2,3,1,6,4,False,False,False,False,False,False,False,Spain,222,12,2013-12-09,35,25-35,1,0,False,62499.0,35
10530,1959,PhD,Widow,67786.0,0,0,0,431,82,441,80,20,102,1,3,6,6,1,False,False,False,False,False,True,False,India,1156,16,2013-12-07,55,45-60,0,0,False,67786.0,55
2964,1981,Graduate,Married,26872.0,0,0,0,3,10,8,3,16,32,1,1,1,2,6,False,False,False,False,False,False,False,Canada,72,5,2013-10-16,33,25-35,0,0,False,26872.0,33
10311,1969,Graduate,Married,4428.0,0,1,0,16,4,12,2,4,321,0,25,0,0,1,False,False,False,False,False,False,False,Spain,359,25,2013-10-05,45,35-45,1,0,False,8857.2,45
837,1977,Graduate,Married,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,False,False,False,False,False,False,False,Spain,174,12,2013-09-11,37,35-45,2,1,False,54809.0,37
10521,1977,Graduate,Married,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,False,False,False,False,False,True,False,Spain,174,12,2013-09-11,37,35-45,2,1,False,54809.0,37
10175,1958,PhD,Divorced,32173.0,0,1,0,18,0,2,0,0,2,1,1,0,3,4,False,False,False,False,False,False,False,Spain,22,5,2013-08-01,56,45-60,1,0,False,32173.0,56
1473,1960,2n Cycle,Single,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,False,False,False,False,False,False,False,Canada,72,7,2013-07-23,54,45-60,1,0,False,47823.0,54
2795,1958,Master,Single,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,False,False,False,False,False,False,False,Canada,13,4,2013-07-01,56,45-60,3,2-3,False,30523.0,56
2285,1954,Master,Married,36634.0,0,1,0,213,9,76,4,3,30,3,5,2,5,7,False,False,False,False,False,False,False,Saudi Arabia,335,15,2013-05-28,60,45-60,1,0,False,36634.0,60
115,1966,Master,Single,43456.0,0,1,0,275,11,68,25,7,7,3,5,1,8,5,False,False,False,False,False,False,False,India,393,17,2013-03-26,48,45-60,1,0,False,43456.0,48
10470,1979,Master,Married,40662.0,1,0,0,40,2,23,0,4,23,2,2,1,3,4,False,False,False,False,False,False,False,Germany,92,8,2013-03-15,35,25-35,1,0,False,40662.0,35
4065,1976,PhD,Married,49544.0,1,0,0,308,0,73,0,0,23,2,5,1,8,7,False,False,False,False,False,False,False,Spain,404,16,2013-02-12,38,35-45,1,0,False,49544.0,38
10968,1969,Graduate,Single,57731.0,0,1,0,266,21,300,65,8,44,4,8,8,6,6,False,False,False,False,False,False,False,India,704,26,2012-11-23,45,35-45,1,0,False,57731.0,45
5985,1965,Master,Single,33168.0,0,1,0,80,1,37,0,1,3,3,2,1,4,7,False,False,False,False,False,False,False,Spain,122,10,2012-10-13,49,45-60,1,0,False,33168.0,49
5430,1956,Graduate,Married,54450.0,1,1,0,454,0,171,8,19,32,12,9,2,8,8,False,False,False,False,False,False,False,Spain,684,31,2012-09-14,58,45-60,2,1,False,54450.0,58
8432,1956,Graduate,Married,54450.0,1,1,0,454,0,171,8,19,32,12,9,2,8,8,False,False,False,False,False,False,False,Spain,684,31,2012-09-14,58,45-60,2,1,False,54450.0,58
