ID,Annee_naissance,Niveau_Education,Statut_Marital,Revenu,Nb_Enfants,Nb_Ado,Nbjour_Dernier_Achat,Montant_Vins,Montant_Fruits,Montant_Viandes,Montant_Poissons,Montant_Sucreries,Montant_Or,NbAchat_Remise,NbAchat_SiteWeb,NbAchat_Catalogue,NbAchat_Magasin,NbVisit_SiteWebCeMois,Campagne3,Campagne4,Campagne5,Campagne1,Campagne2,Reponse,Plaintes,Pays,Montant_Total,Date_Enrollement,Age,Groupe_Age,Revenu_Manquant,NbAchat_Total
1826,1970,Graduate,Divorced,84835.0,0,0,0,189,104,379,111,189,218,1,4,4,6,1,False,False,False,False,False,True,False,Spain,1190,2014-06-16,44,35-45,False,15
1,1961,Graduate,Single,57091.0,0,0,0,464,5,64,7,0,37,1,7,3,7,5,False,False,False,False,True,True,False,Canada,577,2014-06-15,53,45-60,False,18
10476,1958,Graduate,Married,67267.0,0,1,0,134,11,59,15,2,30,1,3,2,5,2,False,False,False,False,False,False,False,USA,251,2014-05-13,56,45-60,False,11
1386,1967,Graduate,Married,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,False,False,False,False,False,False,False,Australia,11,2014-05-11,47,45-60,False,4
5371,1989,Graduate,Single,21474.0,1,0,0,6,16,24,11,0,34,2,3,1,2,7,True,False,False,False,False,True,False,Spain,91,2014-04-08,25,18-25,False,8
7348,1958,PhD,Single,71691.0,0,0,0,336,130,411,240,32,43,1,4,7,5,2,False,False,False,False,False,True,False,Spain,1192,2014-03-17,56,45-60,False,17
4073,1954,2n Cycle,Married,63564.0,0,0,0,769,80,252,15,34,65,1,10,10,7,6,True,False,False,False,False,True,False,Germany,1215,2014-01-29,60,45-60,False,28
1991,1967,Graduate,Married,44931.0,0,1,0,78,0,11,0,0,7,1,2,1,3,5,False,False,False,False,False,False,False,Spain,96,2014-01-18,47,45-60,False,7
4047,1954,PhD,Married,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,False,False,False,False,False,False,False,USA,544,2014-01-11,60,45-60,False,20
9477,1954,PhD,Married,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,False,False,False,False,False,False,False,India,544,2014-01-11,60,45-60,False,20
2079,1947,2n Cycle,Married,81044.0,0,0,0,450,26,535,73,98,26,1,5,6,10,1,False,False,False,False,False,False,False,USA,1208,2013-12-27,67,60+,False,22
5642,1979,Master,Married,62499.0,1,0,0,140,4,61,0,13,4,2,3,1,6,4,False,False,False,False,False,False,False,Spain,222,2013-12-09,35,25-35,False,12
10530,1959,PhD,Widow,67786.0,0,0,0,431,82,441,80,20,102,1,3,6,6,1,False,False,False,False,False,True,False,India,1156,2013-12-07,55,45-60,False,16
2964,1981,Graduate,Married,26872.0,0,0,0,3,10,8,3,16,32,1,1,1,2,6,False,False,False,False,False,False,False,Canada,72,2013-10-16,33,25-35,False,5
10311,1969,Graduate,Married,4428.0,0,1,0,16,4,12,2,4,321,0,25,0,0,1,False,False,False,False,False,False,False,Spain,359,2013-10-05,45,35-45,False,25
